Chooser	LeftChosen	RightChosen	ChooserSpecies	ChooserSex	ChosenExperience	CrossFoster	VisitedBothInAccl	StartRecordTime	TotalTrialLength	LeftinLeft	LeftinCenter	LeftinRight	CenterinLeft	CenterinCenter	CenterinRight	RightinLeft	RightinCenter	RightinRight	CenterGlobalOverlapWithLeft	CenterGlobalOverlapWithRight	CenterOverlapWithLeftinLeft	CenterOverlapWithRightinRight	PrefForLeft	PrefForRight	PrefForL	PrefForG	PrefInd	Mate
GOF343	GOM314	LLM169	G	F	experienced	pure	Y	25.07.2012 08:56:30	144570	143795	775	0	103355	40851	364	0	0	144570	103355	364	103103	364	0.99648197	0.00351803	0.00351803	0.99648197	C	
GOF349	GOM238	LLM222	G	F	experienced	pure	Y	05.09.2012 10:32:44	149452	149423	29	0	17911	120091	11450	0	0	149452	17911	11450	17910	11450	0.610013624	0.389986376	0.389986376	0.610013624	C	C
GOF357	GOM239	LLM038	G	F	experienced	pure	Y	20.09.2012 10:29:04	159110	127578	31532	0	68793	79199	11118	0	0	159110	68793	11118	38800	11118	0.777274731	0.222725269	0.222725269	0.777274731	C	
GOF361	GOM314	LLM180	G	F	experienced	pure	Y	01.10.2012 09:44:13	163349	163349	0	0	17410	137233	8706	0	0	163349	17410	8706	17410	8706	0.66664114	0.33335886	0.33335886	0.66664114	C	
GOF356	LLM169	GOM239	G	F	experienced	pure	Y	07.10.2012 10:40:05	153605	153605	0	0	0	40030	113575	0	10107	143498	0	113575	0	110723	0	1	0	1	C	
GOF289	LLM075	GOM238	G	F	virgin	pure	Y	13.10.2012 08:47:43	146836	106491	39396	949	32210	61530	53096	0	0	146836	30791	53096	32210	53096	0.367053298	0.632946702	0.367053298	0.632946702	C	C
GOF266	GOM314	LLM180	G	F	virgin	pure	Y	28.10.2012 13:16:18	83598	59700	15779	8119	59697	15782	8119	0	0	83598	59697	8119	59697	8119	0.88027899	0.11972101	0.11972101	0.88027899	C	
GOM337	GOF381	LLF227	G	M	virgin	pure	Y	15.11.2012 09:07:58	147836	147836	0	0	366	147398	72	0	0	147836	366	72	366	72	0.835616438	0.164383562	0.164383562	0.835616438	C	
GOM371	GOF369	LLF70	G	M	experienced	pure	Y	22.12.2012 09:23:21	172293	109094	63199	0	16360	155933	0	0	0	172293	16360	0	3625	0	1	0	0	1	C	C
GOM376	GOF394	LLF241A	G	M	experienced	pure	Y	05.01.2013 09:20:15	147320	142878	3345	1097	82773	54330	10217	0	0	147320	82773	10217	82150	10217	0.889386902	0.110613098	0.110613098	0.889386902	C	
GOM378	GOF374	LLF241A	G	M	virgin	pure	Y	09.01.2013 10:10:54	150009	1238	9517	139254	217	10538	139254	0	196	149813	217	139254	217	139162	0.001556906	0.998443094	0.998443094	0.001556906	H	
GOM411	LLF254B	GOF389	G	M	virgin	pure	Y	07.03.2013 10:01:56	148254	148230	24	0	65	147974	215	0	0	148254	65	215	65	215	0.232142857	0.767857143	0.232142857	0.767857143	C	
GOM412	LLF283	GOF409	G	M	virgin	pure	N	09.04.2013 08:25:10	156427	156427	0	0	53	134998	21376	0	0	156427	53	21376	53	21376	0.002473284	0.997526716	0.002473284	0.997526716	C	
GOM410	GOF403	LLF284	G	M	virgin	pure	N	14.04.2013 10:17:23	245155	244607	505	43	41030	204125	0	0	0	245155	41030	0	40912	0	1	0	1	0	C	
GOM430	LLF308	GOF458	G	M	virgin	pure	Y	26.05.2013 15:08:00	162268	20161	133038	9069	12438	140761	9069	12589	10402	139277	12438	9069	12438	3107	0.800128659	0.199871341	0.800128659	0.199871341	H	C
