Male ID,Birthcage,Enclosure,Sire First Round Dominance Status,Sire Second Round Dominance Status,Dominance Status,Body Mass (g),Timepoint,Bradford Protein Assay,Creatinine Assay,MUP ratio (Bradford /Creatinine),Residual protein,Gel,Darcin band Area,MUP band area,Darcin band Relative Density to C57/Bl control ,MUP band Relative Density to C57/BL control,Darcin band: % of total,Darcin band % total Relative,Mup band + Darcin band Relative,Residual Darcin Relative Density,Residual MUP Relative Density,Residual Mup + Darcin Relative,Residual Darcin: % of total
2167,21,4,Lost,Won,0,31.9,2,7.1008,0.16722,42.46382012,2.499251995,,,,,,,,,,,,
2175,30,3,Lost,Lost,0,19.2,2,3.9456,0.04866,81.08508015,0.289931114,,,,,,,,,,,,
2176,30,8,Lost,Lost,0,16.4,2,2.9312,0.03402,86.16108172,-0.607670048,,,,,,,,,,,,
2179,26,9,Lost,Won,0,18.6,2,,,,,,,,,,,,,,,,
2180,26,2,Lost,Won,0,17.6,2,3.5256,0.04948,71.25303153,-0.136610898,,,,,,,,,,,,
2181,26,11,Lost,Won,0,18.4,2,4.928,0.13691,35.99444891,0.568267076,Post1_Gel3,2164.719,11754.773,0.688868613,1.767737761,0.155557845,0.28041473,2.456606374,0.174755304,0.370978429,0.545733733,0.016625442
2182,26,13,Lost,Won,0,18.3,2,4.288,0.10557,40.6175997,0.178299563,Post1_Gel3,1144.648,8905.974,0.364051095,1.339227949,0.113869863,0.21373544,1.703279044,-0.115107726,0.063802631,-0.051305095,-0.021322087
2183,26,12,Lost,Won,0,19.9,2,,,,,,,,,,,,,,,,
2184,26,1,Lost,Won,0,19.6,2,3.244,0.02557,126.8674228,-0.227455418,Post1_Gel4,1233.134,9298.924,0.345902828,1.174991838,0.117026497,0.227433783,1.520894666,-0.044029476,0.209289594,0.165260118,-0.008617392
2195,6.63,3,Won,Won,0,,2,,,,,,,,,,,,,,,,
2200,6.129,10,Won,Won,0,16.8,2,3.684,0.0732,50.32786885,-0.167450546,,,,,,,,,,,,
2206,11,8,Won,Lost,0,18.3,2,3.3504,0.07691,43.56260564,-0.530649159,,,,,,,,,,,,
2207,11,1,Won,Lost,0,20.5,2,3.8848,0.07794,49.84346934,-0.004466564,Post1_Gel4,2059.548,11118.045,0.57795504,1.404831864,0.15627451,0.29148621,1.982786904,0.129612827,0.236377153,0.36598998,0.024380221
2208,11,9,Won,Lost,0,17.9,2,4.2248,0.12701,33.26352256,-0.055950103,Post1_Gel4,1712.012,10669.267,0.480420595,1.348024812,0.138265679,0.262748121,1.828445407,-0.022650933,-0.010406289,-0.033057222,0.000514848
2211,4.76,5,Won,Won,0,20.1,2,3.3888,0.06474,52.34476367,-0.395156135,,,,,,,,,,,,
2212,4.76,11,Won,Won,0,25.2,2,2.6344,0.03732,70.58949625,-0.930797655,Post1_Gel4,143.607,5699.569,0.040246555,0.720208945,0.024541234,0.052924274,0.7604555,-0.362790894,-0.290983876,-0.653774769,-0.102505027
2213,4.76,6,Won,Won,0,21.3,2,,,,,,,,,,,,,,,,
2219,24,10,Lost,Won,0,21.3,2,,,,,,,,,,,,,,,,
2225,31,6,Lost,Lost,0,,2,,,,,,,,,,,,,,,,
2230,33,5,Lost,Lost,0,21.3,2,,,,,,,,,,,,,,,,
2231,33,4,Lost,Lost,0,16.8,2,,,,,,,,,,,,,,,,
2233,33,12,Lost,Lost,0,18.5,2,3.1008,,,,Post1_Gel4,2110.669,10723.024,0.592458303,1.354880836,0.164485605,0.30423992,1.947339139,,,,
2240,3.5,9,Won,Won,0,,2,,,,,,,,,,,,,,,,
2247,14,8,Won,Lost,0,24.2,2,,,,,,,,,,,,,,,,
2248,14,7,Won,Lost,0,22,2,,,,,,,,,,,,,,,,
2257,28.8,7,Lost,Lost,0,,2,,,,,,,,,,,,,,,,
2259,28.8,13,Lost,Lost,0,19.3,2,,0.1781,,,Post1_Gel4,836.941,5368.933,0.234952864,0.67841985,0.134887594,0.25723657,0.913372714,-0.325100949,-0.877808149,-1.202909097,-0.008960867
2119,3.78,13,Won,Won,1,23.7,3,,,,,,,,,,,,,,,,
2126,15,6,Won,Lost,1,24,3,,,,,,,,,,,,,,,,
2130,20,10,Lost,Won,1,26.2,3,,,,,,,,,,,,,,,,
2155,17,11,Lost,Won,1,19,3,4.3192,0.06054,71.34456558,0.568751728,Pre2_Gel5,1128.719,10215.853,0.403639064,1.721308607,0.099487461,0.189952473,2.124947671,-0.025296381,0.620218664,0.594922283,-0.030330124
2157,17,5,Lost,Won,1,,3,,,,,,,,,,,,,,,,
2166,21,3,Lost,Won,1,23.1,3,3.3632,0.0555,60.5981982,-0.347038836,Pre2_Gel5,657.648,5375.296,0.235053843,0.905703289,0.108950086,0.206050733,1.140757132,-0.188260332,-0.1758741,-0.364134432,-0.020265971
2173,30,9,Lost,Lost,1,21.2,3,5.1648,0.07297,70.77977251,1.315184408,Pre2_Gel5,1899.376,8175.61,0.679168214,1.377536739,0.188498403,0.330221509,2.056704953,0.236369199,0.228323574,0.464692772,0.057197288
2193,6.63,4,Won,Won,1,27.7,3,4.4104,0.06216,70.95238095,0.647027266,Pre2_Gel5,1699.255,8342.731,0.607872261,1.405703289,0.169251447,0.30188699,2.01357555,0.177129979,0.298341454,0.475471433,0.039240513
2194,6.63,12,Won,Won,1,21.3,3,,,,,,,,,,,,,,,,
2214,4.76,8,Won,Won,1,22.7,3,3.7072,,,,Pre2_Gel6,921.77,7795.761,0.233528551,0.824032587,0.105757542,0.220818015,1.057561138,,,,
2215,4.76,7,Won,Won,1,20.8,3,2.4376,0.02865,85.08202443,-1.058427851,Pre2_Gel6,328.163,4880.74,0.083211323,0.515885947,0.063066395,0.138894512,0.59909727,-0.310156202,-0.461740636,-0.771896837,-0.062945094
2239,3.5,2,Won,Won,1,20.1,3,,,,,,,,,,,,,,,,
2252,4.158,1,Won,Won,1,25.4,3,4.7352,0.1,47.352,0.669937372,Pre2_Gel6,1671.669,8917.489,0.423377257,0.942566191,0.157856428,0.309952259,1.365943448,-0.049569168,-0.311294658,-0.360863826,0.023329262
2124,15,4,Won,Lost,0,,3,,,,,,,,,,,,,,,,
2125,15,3,Won,Lost,0,,3,,,,,,,,,,,,,,,,
2131,20,12,Lost,Won,0,25.7,3,,,,,,,,,,,,,,,,
2136,34,10,Lost,Lost,0,19.9,3,3.588,0.04703,76.29172868,-0.054664644,,,,,,,,,,,,
2137,34,1,Lost,Lost,0,30.6,3,,,,,,,,,,,,,,,,
2138,34,2,Lost,Lost,0,20.3,3,3.2896,0.06685,49.20867614,-0.511189848,Pre2_Gel5,343.335,2914.225,0.122911251,0.491077677,0.105481198,0.2001848,0.613988928,-0.313061936,-0.634441673,-0.947503609,-0.025089491
2142,35,11,Lost,Lost,0,20.9,3,4.8648,0.06072,80.11857708,1.112915677,,,,,,,,,,,,
2154,17,6,Lost,Won,0,20.7,3,4.0264,0.14036,28.68623539,-0.36085724,Pre2_Gel5,1635.841,14370.016,0.585220943,2.421273618,0.102231448,0.194652254,3.006494561,0.06725974,1.011157479,1.078417219,-0.037112715
2158,17,7,Lost,Won,0,21.3,3,,,,,,,,,,,,,,,,
2163,21,5,Lost,Won,0,,3,,,,,,,,,,,,,,,,
2164,21,13,Lost,Won,0,27,3,4.8408,0.06505,74.41660261,1.054370665,Pre2_Gel5,1300.477,7904.974,0.465280356,1.331875437,0.141326416,0.258898176,1.797155793,0.031314766,0.213324856,0.244639622,0.010970559
2165,21,2,Lost,Won,0,23,3,,,,,,,,,,,,,,,,
2167,21,4,Lost,Won,0,28,3,4.7,0.05495,85.53230209,0.994149099,Pre2_Gel5,1741.669,5819.246,0.622725585,0.980580826,0.230293875,0.388400858,1.603306411,0.200024843,-0.098867217,0.101157626,0.10114346
2175,30,3,Lost,Lost,0,23.2,3,5.336,0.04739,112.5975944,1.690463253,Pre2_Gel5,1783.255,8757.974,0.637578908,1.475682295,0.169129236,0.301703787,2.113261203,0.223310072,0.425503083,0.648813154,0.040881113
2176,30,8,Lost,Lost,0,18.2,3,3.9376,0.03063,128.5537055,0.425775585,,,,,,,,,,,,
2179,26,9,Lost,Won,0,20.5,3,3.9936,0.05387,74.13402636,0.296365407,,,,,,,,,,,,
