nose_sp,nose_sex,nose_geography,nose_population,stimA,stimB,A_snif_(s),B_snif_(s)
musculus,1,allopatry,R,H1,mus_border,11.99,8.01
musculus,1,allopatry,R,H1,mus_border,6.43,0.96
musculus,1,allopatry,R,H1,mus_border,5.06,1.17
musculus,1,allopatry,R,H1,mus_border,9.1,9.05
musculus,2,allopatry,H,H1,mus_border,7.41,4.86
musculus,2,allopatry,H,H1,mus_border,0.4,1.63
musculus,2,allopatry,H,H1,mus_border,1.77,1.55
musculus,2,allopatry,R,H1,mus_border,1.15,6.89
musculus,2,allopatry,R,H1,mus_border,10.28,9.13
musculus,2,allopatry,R,H1,mus_border,1.26,1.42
musculus,2,allopatry,R,H1,mus_border,0.95,2.27
musculus,2,allopatry,R,H1,mus_border,5.93,6.99
musculus,2,allopatry,R,H1,mus_border,0.28,0.61
musculus,2,allopatry,R,H1,mus_border,4.73,16.83
